county,county_fips,agency_type,agency_name,street,city
Chenango,36017,ambulance_als,"Greene Emergency Squad, Inc.",30 Birdsall Street,"Greene, NY 13778"
Chenango,36017,ambulance_als,Guilford Fire District,PO Box 68,"Guilford, NY 13780"
Chenango,36017,ambulance_als,"New Berlin Ambulance Service, Town of",PO Box 845,"New Berlin, NY 13411"
Chenango,36017,ambulance_als,"New Berlin Ambulance Service, Village of",P.O. Box 280,"New Berlin, NY 13411"
Chenango,36017,ambulance_als,"Norwich Fire Department, City of",One City Plaza,"Norwich, NY 13815"
Chenango,36017,ambulance_als,"Oxford Fire Department Emergency Squad, Village of",PO Box 172,"Oxford, NY 13830"
Chenango,36017,ambulance_als,"Sherburne, Village of",PO Box 924,"Sherburne, NY 13460"
Chenango,36017,ambulance_als,"Smyrna EMS, Town of",PO Box 21,"Smyrna, NY 13464"
Chenango,36017,ambulance_als,South New Berlin Fire District Rescue Squad,3519 State Highway 8 Box #2P,"South New Berlin, NY 13843"
Chenango,36017,ambulance_als,South Otselic Fire Department,PO Box 103,"South Otselic, NY 13155"
Clinton,36019,ambulance_als,Altona Fire District,PO Box 36,"Altona, NY 12910"
Clinton,36019,ambulance_als,Ausable Chesterfield Keeseville Joint Fire District,8 Pleasant Street,"Keeseville, NY 12944"
Clinton,36019,ambulance_als,"Champlain EMS, Inc.",1150 State Route 11,"Champlain, NY 12919"
Clinton,36019,ambulance_als,"Chazy Volunteer Fire Department, Inc",PO Box 116,"Chazy, NY 12921"
Clinton,36019,ambulance_als,"Clinton, Town of",PO Box 165,"Churubusco, NY 12923"
Clinton,36019,ambulance_als,"Dannemora Fire Department, Village of",PO Box 123,"Dannemora, NY 12929"
Clinton,36019,ambulance_als,Ellenburg Center Volunteer Fire Department,PO Box 15,"Ellenburg Center, NY 12934"
Clinton,36019,ambulance_als,Ellenburg Depot Fire District 21,PO Box 152,"Ellenburg Depot, NY 12935"
Clinton,36019,ambulance_als,"Emergency Medical Transport of CVPH, Inc.",75 Beekman Street,"Plattsburgh, NY 12901"
Clinton,36019,ambulance_als,"Morrisonville Schuyler Falls Volunteer Ambulance Service, Inc.",21 Banker Road,"Morrisonville, NY 12962"
